"key","en","ua","ru"
"play","Play","Грати","Играть"
"newgame","New Game","Нова Гра","Новая игра"
"continue","Continue","Продовжити","Продолжить"
"save","Save","Зберегти","Сохранить"
"setting","Setting","Налаштування","Настройки"
"exit","Exit","Вийти","Выйти"
"ua","Ukrainian","Українська","Украинский"
"en","English","Англiйська","Английский"
"ru","Russian","Росiйська","Русский"
"backToMenu","Back To Menu","Повернутися у Меню","Вернуться В меню"
"resume","Resume","Продовжити","Продолжить"
"buy","Buy","Придбати","Купить"
"officeName","Administrative Complex","Адмiнiстративний комплекс","Административный комплекс"
"officeDesc","Central office for strategic decisions. Increases overall efficiency and unlocks personnel management.","Центральний офiс, де ухвалюються управлiнськi рiшення. Пiдвищує загальну ефективнiсть i вiдкриває доступ до найму персоналу.","Центральный офис, где принимаются управленческие решения. Повышает общую эффективность и открывает доступ к найму персонала."
"mineCrysalorName","Crysalor Mine","Кристалорна шахта","Шахта Кристалора"
"mineCrysalorDesc","Facility dedicated to the extraction of rare Crysalor crystals. Vital for high-tier tech.","Об'єкт, присвячений видобутку рідкісних кристалів Кристалора. Необхідний для передових технологій.","Предприятие по добыче редких кристаллов Кристалора. Ключевой элемент для высоких технологий."
"mineVelorithName","Velorith Mine","Велоритна шахта","Шахта Велорита"
"mineVelorithDesc","Specialized mine extracting Velorith, an energy-dense mineral used in advanced systems.","Спецiалiзована шахта з видобутку Велориту — мiнералу з високою енергетичною щiльнiстю.","Шахта по добыче Велорита — минерала с высокой плотностью энергии, используемого в сложных системах."
"mineZenthiteName","Zenthite Mine","Зентитна шахта","Шахта Зентита"
"mineZenthiteDesc","Deep-core mine for rare Zenthite ore. Crucial for elite construction projects.","Глибока шахта для видобутку рiдкiсної руди Зентиту. Необхiдна для елітних будiвельних проектiв.","Глубинная шахта для добычи редкой руды Зентита. Важна для элитных строительных проектов."
"storageName","Logistics Center","Логiстичний центр","Логистический центр"
"storageDesc","Modern automated storage. Increases resource capacity and optimizes distribution.","Сучасне автоматизоване сховище. Збiльшує лiмiт ресурсiв i покращує розподiл.","Современное автоматизированное хранилище. Увеличивает лимит ресурсов и улучшает их распределение."
"marketName","Trade Terminal","Комерцiйний термiнал","Коммерческий терминал"
"marketDesc","Hub for preparing and dispatching goods to market. Boosts speed and profit of sales.","Центр пiдготовки та вiдправки товарів на ринок. Підвищує швидкiсть i прибуток продажів.","Площадка для подготовки и отправки продукции на рынок. Повышает скорость и прибыль от реализации товаров."
"factoryName","Industrial Plant","Iндустрiальний завод","Индустриальный завод"
"factoryDesc","High-tech facility for advanced material processing. A core link in the production chain.","Високотехнологiчний об'єкт для глибокої переробки матерiалiв. Ключовий елемент виробничого ланцюга.","Высокотехнологичное предприятие по глубокой переработке сырья. Является ключевым звеном в производственной цепочке."
"upgradeLevel","Level: {0}","Рiвень: {0}","Уровень: {0}"
"producing","Producing: {0}","Виробляє: {0}","Производит: {0}"
"requires","Requires: {0}","Потрiбно: {0}","Требуется: {0}"
"efficiency","Efficiency: {0}","Ефективнiсть: {0}","Эффективность: {0}"
"buffer","Storage Buffer: {0}","Буфер зберiгання: {0}","Буфер хранения: {0}"
"unknownRecipe","Unknown recipe","Невiдома рецептура","Неизвестный рецепт"
"upgradeCost","Upgrade Cost: {0}","Вартість покращення: {0}","Стоимость улучшения: {0}"
"efficiencyBonus","Efficiency Bonus: {0}%","Бонус ефективності: {0}%","Бонус эффективности: {0}%"
"maxPersonnel","Max Personnel: {0}","Максимум персоналу: {0}","Максимум персонала: {0}"
"tradeSpeed","Trade Speed: {0}x","Швидкiсть торгiвлi: {0}x","Скорость торговли: {0}x"
"profitBonus","Profit Bonus: {0}%","Бонус прибутку: {0}%","Бонус прибыли: {0}%"
"miningSpeed","Mining Speed: {0} / sec","Швидкiсть видобутку: {0} / сек","Скорость добычи: {0} / сек"
"buffer","Storage Buffer: {0}","Буфер зберiгання: {0}","Буфер хранения: {0}"
"storageCapacity","Storage Capacity: {0} per resource","Мiсткiсть сховища: {0} на ресурс","Ёмкость хранилища: {0} на ресурс"
"welcomeMessage","Welcome!\n\nBefore you start, please build:\n1. Two mines\n2. A storage\n3. A factory\n4. A market","Ласкаво просимо!\n\nПеред початком побудуйте:\n1. Дві шахти\n2. Склад\n3. Завод\n4. Ринок","Добро пожаловать!\n\nПеред началом постройте:\n1. Две шахты\n2. Склад\n3. Завод\n4. Рынок"
"cenoxiumCraft","Production of Сenoxium","Виробництво Сenoxium","Производство Сenoxium"
"thaloriteCraft","Production of Thalorite","Виробництво Тhalorite","Производство Тhalorite"
"help","Help","Допомога","Помощь"
"cameraControl","Camera movement is done by holding the right mouse button and dragging.","Рух камери виконується затисненням правої кнопки миші та переміщенням.","Управление камерой осуществляется зажатием правой кнопки мыши и перемещением."
"cancelBuild","Press the middle mouse button to cancel building placement.","Натисніть середню кнопку миші, щоб скасувати розміщення будівлі.","Нажмите среднюю кнопку мыши, чтобы отменить размещение здания."
"placeBuild","Press the left mouse button to place the building.","Натисніть ліву кнопку миші, щоб розмістити будівлю.","Нажмите левую кнопку мыши, чтобы разместить здание."
"shopScroll","To scroll the shop, hold any item and move the mouse up or down.","Щоб прокрутити магазин, затисніть будь-який товар і рухайте мишу вгору або вниз.","Чтобы прокрутить магазин, зажмите любой товар и двигайте мышь вверх или вниз."
"earlyGameTip","Tip: Start by building Zenthite and Velorith mines and select Cenoxium crafting.","Порада: Почніть з побудови шахт Зентиту та Велориту й вибору крафту Сenoxium.","Совет: Начните с постройки шахт Зентита и Велорита и выбора крафта Сenoxium."
